K..Mandi,K..Tidur,L..Bangunan,Sertifikat,Tipe.Properti,Kota,Price
66,1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,398000000
67,3,3,115,SHM - Sertifikat Hak Milik,Rumah,Depok,1050000000
68,1,1,26,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,730000000
69,2,2,65,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,950000000
70,3,3,80,SHM - Sertifikat Hak Milik,Rumah,Depok,985000000
71,3,3,155,SHM - Sertifikat Hak Milik,Rumah,Depok,1720000000
72,2,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1300000000
73,2,3,125,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,2100000000
74,1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,600000000
75,3,3,188,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3300000000
76,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
77,2,2,65,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2750000000
78,1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1000000000
79,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,880000000
80,2,3,91,SHM - Sertifikat Hak Milik,Rumah,Depok,2130000000
81,3,4,142,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,5200000000
82,1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,836000000
83,2,3,81,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,2300000000
84,1,2,61,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,995000000
85,1,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,2700000000
86,1,1,25,HGB - Hak Guna Bangunan,Apartemen,Depok,650000000
87,3,3,112,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1900000000
88,1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,310000000
89,1,1,41,HP - Hak Pakai,Apartemen,Jakarta Pusat,850000000
90,3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
91,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
92,2,3,192,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,3000000000
93,2,2,105,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,4900000000
94,2,3,50,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,600000000
95,1,2,50,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1650000000
96,1,2,60,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2000000000
97,1,2,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,400000000
98,1,1,38,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1200000000
99,1,1,20,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,360000000
100,2,4,200,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2700000000
101,1,2,43,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,485000000
102,2,2,40,SHM - Sertifikat Hak Milik,Rumah,Depok,589000000
103,1,2,47,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,750000000
104,3,3,100,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1820000000
105,2,3,93,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
106,1,1,28,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,950000000
107,1,2,135,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1800000000
108,2,3,100,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1950000000
109,4,4,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2400000000
110,1,1,46,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,800000000
111,3,4,121,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1690000000
112,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1300000000
113,2,3,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,960000000
114,2,3,70,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1120000000
115,1,2,36,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,350000000
116,1,2,70,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Pusat,975000000
117,1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,330000000
118,1,2,45,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,700000000
119,3,4,135,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
120,1,1,36,HP - Hak Pakai,Apartemen,Jakarta Pusat,500000000
121,3,3,180,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2500000000
122,3,3,190,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2800000000
123,2,2,57,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,1100000000
124,1,2,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,350000000
125,1,3,56,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,850000000
126,2,3,78,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,800000000
127,1,1,131,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,3000000000
128,3,4,160,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2850000000
129,2,3,73,SHM - Sertifikat Hak Milik,Rumah,Depok,1480000000
130,3,3,135,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,2550000000
131,1,2,52,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,2000000000
132,1,2,43,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,750000000
133,4,4,170,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1700000000
134,2,2,72,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,800000000
135,1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,365000000
136,2,3,130,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1350000000
137,1,1,33,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,475000000
138,2,2,72,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,2500000000
139,2,2,78,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,3200000000
140,2,1,96,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1550000000
141,2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
142,1,2,48,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,1200000000
143,2,3,84,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,1750000000
144,1,1,38,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,675000000
145,1,2,66,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,1250000000
146,2,2,79,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,1350000000
147,1,1,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1100000000
148,4,4,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,3700000000
149,1,2,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,430000000
150,2,2,86,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,2100000000
151,3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
152,2,3,68,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,1300000000
153,2,2,60,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2400000000
154,3,3,190,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2800000000
155,1,1,30,HGB - Hak Guna Bangunan,Apartemen,Depok,550000000
156,1,1,33,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,530000000
157,3,3,83,SHM - Sertifikat Hak Milik,Rumah,Depok,1260000000
158,1,2,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,285000000
159,1,2,35,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,580000000
160,2,3,110,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,2400000000
161,2,3,56,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,550000000
162,1,4,320,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,5150000000
163,3,3,208,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4500000000
164,1,1,32,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,550000000
165,1,1,24,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,425000000
166,1,2,50,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,850000000
167,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
168,2,3,139,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,3200000000
169,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,990000000
170,2,2,70,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,1330000000
171,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,860000000
172,2,3,100,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2200000000
173,1,1,37,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,1100000000
174,2,3,90,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,950000000
175,2,2,115,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,2100000000
176,3,3,185,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3350000000
177,1,1,18,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,250000000
178,3,4,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2250000000
179,2,2,130,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,3850000000
180,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Depok,995000000
181,1,2,40,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,630000000
182,3,3,192,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,1900000000
183,1,1,28,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1000000000
184,2,2,82,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,3400000000
185,1,2,100,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,800000000
186,1,1,32,SHM - Sertifikat Hak Milik,Apartemen,Depok,875000000
187,1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,2800000000
188,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2250000000
189,2,3,135,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1700000000
190,1,1,72,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1200000000
191,1,1,40,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,950000000
192,1,2,34,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,600000000
193,3,3,126,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2100000000
194,1,1,198,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2800000000
195,3,3,115,SHM - Sertifikat Hak Milik,Rumah,Depok,1340000000
196,1,2,40,SHM - Sertifikat Hak Milik,Apartemen,Depok,650000000
197,2,2,43,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,650000000
198,1,1,31,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,600000000
199,2,3,66,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,888000000
200,1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,600000000
201,2,2,90,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,2400000000
202,1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,570000000
203,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1520000000
204,1,2,40,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,425000000
205,1,1,28,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,1160000000
206,1,3,52,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,605000000
207,2,3,62,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,800000000
208,3,3,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4100000000
209,1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,370000000
210,1,2,136,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,2400000000
211,1,1,65,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2600000000
212,1,4,192,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2900000000
213,4,4,208,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3500000000
214,1,2,33,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,398000000
215,2,3,117,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,4300000000
216,2,3,88,SHM - Sertifikat Hak Milik,Rumah,Depok,1610000000
217,2,2,151,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,5350000000
218,3,3,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2550000000
219,2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1210000000
220,1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,330000000
221,1,1,45,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,950000000
222,1,1,24,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,250000000
223,3,3,138,HGB - Hak Guna Bangunan,Rumah,Jakarta Barat,3200000000
224,1,1,20,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,225000000
225,1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,450000000
226,2,3,208,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4300000000
227,1,1,24,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,270000000
228,3,3,140,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2200000000
229,1,1,37,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,735000000
230,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
231,1,1,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,270000000
232,1,2,45,HP - Hak Pakai,Apartemen,Jakarta Timur,590000000
233,1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,650000000
234,1,1,45,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,900000000
235,3,4,175,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3300000000
236,2,3,122,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,3950000000
237,4,4,204,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3500000000
238,2,3,88,SHM - Sertifikat Hak Milik,Rumah,Depok,1610000000
239,2,2,70,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1680000000
240,1,3,100,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,3000000000
241,3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3200000000
242,2,4,180,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3600000000
243,1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,650000000
244,1,1,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,850000000
245,3,3,110,SHM - Sertifikat Hak Milik,Rumah,Depok,1340000000
246,1,1,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1250000000
247,2,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1430000000
248,2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
249,2,2,62,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,595000000
250,1,1,26,HP - Hak Pakai,Apartemen,Tangerang Selatan,400000000
251,1,1,26,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,550000000
252,1,1,57,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,700000000
253,1,1,37,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,850000000
254,2,3,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1750000000
255,1,2,58,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1050000000
256,2,2,105,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1500000000
257,3,3,154,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,4190000000
258,1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,700000000
259,1,1,38,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1250000000
260,1,1,20,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,428000000
261,1,1,37,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1150000000
262,3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1490000000
263,1,2,43,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1700000000
264,2,4,145,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1900000000
265,3,4,150,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2200000000
266,2,3,65,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1900000000
267,2,3,73,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,1800000000
268,1,3,75,HGB - Hak Guna Bangunan,Rumah,Tangerang Selatan,750000000
269,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
270,3,3,105,SHM - Sertifikat Hak Milik,Rumah,Depok,1250000000
271,1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,600000000
272,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
273,1,1,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1250000000
274,1,1,33,HGB - Hak Guna Bangunan,Apartemen,Depok,650000000
275,3,4,250,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Pusat,4800000000
276,2,3,145,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,5800000000
277,1,1,45,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,1100000000
278,1,2,52,SHM - Sertifikat Hak Milik,Rumah,Depok,615000000
279,3,3,210,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1200000000
280,1,2,63,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1290000000
281,4,4,240,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2660000000
282,1,1,17,HP - Hak Pakai,Apartemen,Depok,360000000
283,3,3,112,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1700000000
284,3,2,107,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,1150000000
285,4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
286,1,1,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,550000000
287,1,1,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,290000000
288,1,2,33,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,325000000
289,2,2,99,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,3800000000
290,1,2,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,620000000
291,1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,410000000
292,3,3,192,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,1900000000
293,3,3,105,SHM - Sertifikat Hak Milik,Rumah,Depok,1250000000
294,4,4,192,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Tangerang Selatan,5570000000
295,3,4,195,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2400000000
296,2,3,144,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,4500000000
297,2,3,73,SHM - Sertifikat Hak Milik,Rumah,Depok,1480000000
298,3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1650000000
299,3,4,272,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3500000000
300,1,1,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,395000000
301,1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,620000000
302,2,3,100,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1500000000
303,2,3,91,SHM - Sertifikat Hak Milik,Rumah,Depok,2130000000
304,1,1,24,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,610000000
305,1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,450000000
306,3,3,130,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1700000000
