kamar_mandi,kamar_tidur,luas_bangunan,sertifikat,tipe_properti,kota,harga
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Depok,995000000
2,3,94,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1430000000
1,1,48,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1130000000
1,2,35,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,460000000
2,3,60,SHM - Sertifikat Hak Milik,Rumah,Depok,779000000
4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
3,4,180,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Pusat,3500000000
3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1490000000
1,2,29,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,500000000
3,4,248,HGB - Hak Guna Bangunan,Rumah,Jakarta Pusat,3500000000
2,2,64,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,1600000000
4,4,240,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4150000000
2,2,107,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,3200000000
2,2,91,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2430000000
1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,398000000
3,3,115,SHM - Sertifikat Hak Milik,Rumah,Depok,1050000000
1,1,26,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,730000000
2,2,65,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,950000000
3,3,80,SHM - Sertifikat Hak Milik,Rumah,Depok,985000000
3,3,155,SHM - Sertifikat Hak Milik,Rumah,Depok,1720000000
2,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1300000000
2,3,125,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,2100000000
1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,600000000
3,3,188,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3300000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
2,2,65,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2750000000
1,2,42,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1000000000
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,880000000
2,3,91,SHM - Sertifikat Hak Milik,Rumah,Depok,2130000000
3,4,142,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,5200000000
1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,836000000
2,3,81,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,2300000000
1,2,61,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,995000000
1,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,2700000000
1,1,25,HGB - Hak Guna Bangunan,Apartemen,Depok,650000000
3,3,112,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1900000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,310000000
1,1,41,HP - Hak Pakai,Apartemen,Jakarta Pusat,850000000
3,4,155,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2270000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
2,3,192,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,3000000000
2,2,105,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,4900000000
2,3,50,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,600000000
1,2,50,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1650000000
1,2,60,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2000000000
1,2,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,400000000
1,1,38,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1200000000
1,1,20,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,360000000
2,4,200,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2700000000
1,2,43,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,485000000
2,2,40,SHM - Sertifikat Hak Milik,Rumah,Depok,589000000
1,2,47,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,750000000
3,3,100,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1820000000
2,3,93,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
1,1,28,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,950000000
1,2,135,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1800000000
2,3,100,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1950000000
4,4,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,2400000000
1,1,46,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,800000000
3,4,121,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1690000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1300000000
2,3,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,960000000
2,3,70,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1120000000
1,2,36,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,350000000
1,2,70,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Pusat,975000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,330000000
1,2,45,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,700000000
3,4,135,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
1,1,36,HP - Hak Pakai,Apartemen,Jakarta Pusat,500000000
3,3,180,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2500000000
3,3,190,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2800000000
2,2,57,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,1100000000
1,2,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,350000000
1,3,56,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,850000000
2,3,78,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,800000000
1,1,131,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,3000000000
3,4,160,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2850000000
2,3,73,SHM - Sertifikat Hak Milik,Rumah,Depok,1480000000
3,3,135,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,2550000000
1,2,52,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,2000000000
1,2,43,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,750000000
4,4,170,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1700000000
2,2,72,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,800000000
1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,365000000
2,3,130,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1350000000
1,1,33,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,475000000
2,2,72,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,2500000000
2,2,78,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,3200000000
2,1,96,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1550000000
2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
1,2,48,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,1200000000
2,3,84,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,1750000000
1,1,38,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,675000000
1,2,66,HGB - Hak Guna Bangunan,Apartemen,Tangerang Selatan,1250000000
2,2,79,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,1350000000
1,1,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1100000000
4,4,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,3700000000
1,2,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,430000000
2,2,86,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,2100000000
3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1400000000
2,3,68,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,1300000000
2,2,60,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2400000000
3,3,190,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2800000000
1,1,30,HGB - Hak Guna Bangunan,Apartemen,Depok,550000000
1,1,33,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,530000000
3,3,83,SHM - Sertifikat Hak Milik,Rumah,Depok,1260000000
1,2,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,285000000
1,2,35,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,580000000
2,3,110,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,2400000000
2,3,56,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,550000000
1,4,320,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,5150000000
3,3,208,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4500000000
1,1,32,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,550000000
1,1,24,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,425000000
1,2,50,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,850000000
4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
2,3,139,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,3200000000
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,990000000
2,2,70,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,1330000000
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,860000000
2,3,100,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2200000000
1,1,37,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,1100000000
2,3,90,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,950000000
2,2,115,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,2100000000
3,3,185,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,3350000000
1,1,18,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,250000000
3,4,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2250000000
2,2,130,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,3850000000
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Depok,995000000
1,2,40,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,630000000
3,3,192,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,1900000000
1,1,28,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,1000000000
2,2,82,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,3400000000
1,2,100,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,800000000
1,1,32,SHM - Sertifikat Hak Milik,Apartemen,Depok,875000000
1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,2800000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2250000000
2,3,135,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1700000000
1,1,72,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,1200000000
1,1,40,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,950000000
1,2,34,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,600000000
3,3,126,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2100000000
1,1,198,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,2800000000
3,3,115,SHM - Sertifikat Hak Milik,Rumah,Depok,1340000000
1,2,40,SHM - Sertifikat Hak Milik,Apartemen,Depok,650000000
2,2,43,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,650000000
1,1,31,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,600000000
2,3,66,SHM - Sertifikat Hak Milik,Rumah,Jakarta Pusat,888000000
1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,600000000
2,2,90,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Utara,2400000000
1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,570000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Depok,1520000000
1,2,40,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,425000000
1,1,28,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,1160000000
1,3,52,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,605000000
2,3,62,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,800000000
3,3,250,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,4100000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,370000000
1,2,136,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,2400000000
1,1,65,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2600000000
1,4,192,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2900000000
4,4,208,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3500000000
1,2,33,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,398000000
2,3,117,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,4300000000
2,3,88,SHM - Sertifikat Hak Milik,Rumah,Depok,1610000000
2,2,151,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,5350000000
3,3,150,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2550000000
2,3,75,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1210000000
1,1,23,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,330000000
1,1,45,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,950000000
1,1,24,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,250000000
3,3,138,HGB - Hak Guna Bangunan,Rumah,Jakarta Barat,3200000000
1,1,20,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,225000000
1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,450000000
2,3,208,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,4300000000
1,1,24,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,270000000
3,3,140,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2200000000
1,1,37,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,735000000
4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
1,1,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,270000000
1,2,45,HP - Hak Pakai,Apartemen,Jakarta Timur,590000000
1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,650000000
1,1,45,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Selatan,900000000
3,4,175,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3300000000
2,3,122,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,3950000000
4,4,204,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3500000000
2,3,88,SHM - Sertifikat Hak Milik,Rumah,Depok,1610000000
2,2,70,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1680000000
1,3,100,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,3000000000
3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,3200000000
2,4,180,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3600000000
1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Depok,650000000
1,1,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,850000000
3,3,110,SHM - Sertifikat Hak Milik,Rumah,Depok,1340000000
1,1,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1250000000
2,3,120,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1430000000
2,3,122,SHM - Sertifikat Hak Milik,Rumah,Depok,1280000000
2,2,62,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,595000000
1,1,26,HP - Hak Pakai,Apartemen,Tangerang Selatan,400000000
1,1,26,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,550000000
1,1,57,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Pusat,700000000
1,1,37,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,850000000
2,3,80,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1750000000
1,2,58,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1050000000
2,2,105,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1500000000
3,3,154,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,4190000000
1,1,21,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,700000000
1,1,38,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1250000000
1,1,20,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,428000000
1,1,37,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,1150000000
3,3,120,SHM - Sertifikat Hak Milik,Rumah,Depok,1490000000
1,2,43,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Pusat,1700000000
2,4,145,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1900000000
3,4,150,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2200000000
2,3,65,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1900000000
2,3,73,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,1800000000
1,3,75,HGB - Hak Guna Bangunan,Rumah,Tangerang Selatan,750000000
4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
3,3,105,SHM - Sertifikat Hak Milik,Rumah,Depok,1250000000
1,2,42,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Timur,600000000
4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
1,1,42,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,1250000000
1,1,33,HGB - Hak Guna Bangunan,Apartemen,Depok,650000000
3,4,250,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Jakarta Pusat,4800000000
2,3,145,HGB - Hak Guna Bangunan,Apartemen,Jakarta Selatan,5800000000
1,1,45,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,1100000000
1,2,52,SHM - Sertifikat Hak Milik,Rumah,Depok,615000000
3,3,210,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,1200000000
1,2,63,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,1290000000
4,4,240,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,2660000000
1,1,17,HP - Hak Pakai,Apartemen,Depok,360000000
3,3,112,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1700000000
3,2,107,HGB - Hak Guna Bangunan,Apartemen,Jakarta Timur,1150000000
4,4,160,SHM - Sertifikat Hak Milik,Rumah,Jakarta Timur,1970000000
1,1,36,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,550000000
1,1,31,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Utara,290000000
1,2,33,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,325000000
2,2,99,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Barat,3800000000
1,2,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,620000000
1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,410000000
3,3,192,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,1900000000
3,3,105,SHM - Sertifikat Hak Milik,Rumah,Depok,1250000000
4,4,192,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Tangerang Selatan,5570000000
3,4,195,SHM - Sertifikat Hak Milik,Rumah,Tangerang Selatan,2400000000
2,3,144,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Utara,4500000000
2,3,73,SHM - Sertifikat Hak Milik,Rumah,Depok,1480000000
3,3,140,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1650000000
3,4,272,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,3500000000
1,1,33,HGB - Hak Guna Bangunan,Apartemen,Jakarta Barat,395000000
1,2,36,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,620000000
2,3,100,SHM - Sertifikat Hak Milik,Rumah,Jakarta Barat,1500000000
2,3,91,SHM - Sertifikat Hak Milik,Rumah,Depok,2130000000
1,1,24,SHM - Sertifikat Hak Milik,Apartemen,Jakarta Timur,610000000
1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,450000000
3,3,130,SHM - Sertifikat Hak Milik,Rumah,Jakarta Selatan,1700000000
1,1,28,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,450000000
2,2,120,HGB - Hak Guna Bangunan,Apartemen,Jakarta Pusat,2350000000
2,3,78,"Lainnya (PPJB,Girik,Adat,dll)",Rumah,Tangerang Selatan,1950000000
1,1,27,SHM - Sertifikat Hak Milik,Apartemen,Tangerang Selatan,500000000
1,2,82,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,1800000000
1,2,38,HGB - Hak Guna Bangunan,Apartemen,Jakarta Utara,650000000
2,1,97,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Selatan,2400000000
3,3,300,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,5300000000
2,2,63,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Jakarta Barat,1200000000
1,1,28,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,380000000
1,1,70,SHM - Sertifikat Hak Milik,Rumah,Jakarta Utara,1450000000
3,3,140,SHM - Sertifikat Hak Milik,Rumah,Depok,1700000000
3,3,200,SHM - Sertifikat Hak Milik,Rumah,Depok,2900000000
1,1,22,"Lainnya (PPJB,Girik,Adat,dll)",Apartemen,Tangerang Selatan,280000000
